chembl_id	link_name	link
CHEMBL90107	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL90107	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL329016	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL89178	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL89178	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL329185	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL420975	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL420975	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL89656	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL89656	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL420975	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL89656	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL329016	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL22077	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL329185	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL327543	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL89178	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL90107	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL21677	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL21677	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL420975	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL89656	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL329016	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL22077	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL329185	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL327543	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL89178	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL90107	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL21677	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL42113	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL297036	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL42887	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL42452	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
